city,lat,lon
NEW DELHI,28.6138954,77.2090057
AHMEDABAD,23.0215374,72.5800568
MUMBAI,19.054999,72.8692035
KALYAN,19.2396742,73.1366482
JAIPUR,26.9154576,75.8189817
VASHI,19.0632481,72.9987966
